SubmissionDate,name,datetime,build_date,number,street,photo,waypoint-Latitude,waypoint-Longitude,waypoint-Altitude,waypoint-Accuracy,type,structure,style,windows,walls,porch,roof,chimney,elements,additions,inventory,notes,instanceID,KEY
"",Wr,"Apr 20, 2019 9:47:00 PM",1948,8654,La Mesa,media/1555796903578.jpg,32.769496,-117.01085499999999,0.0,0.0,commercial_retail,one_story,modern,pot_reverse,yes,undetermined,undetermined,"","","",more_research,"",uuid:e7f60a2a-8b9d-483b-8ef7-bb0d125d2996,uuid:e7f60a2a-8b9d-483b-8ef7-bb0d125d2996
"",Am,"Nov 5, 2019 10:38:00 PM","",8215,La Mesa Blvd,media/1572993644382.jpg,32.764024,-117.021065,0.0,0.0,commercial_retail,one_story,undetermined,no,undetermined,no,undetermined,undetermined,yes,no,undetermined,"",uuid:fc549da2-cc7f-485e-86f4-324ab3c4ac68,uuid:fc549da2-cc7f-485e-86f4-324ab3c4ac68
"",Am,"Nov 5, 2019 9:20:00 PM","",7830,La Mesa Blvd,media/1572988948721.jpg,32.767888,-117.029068,0.0,0.0,commercial_retail,two_story,craftsman,yes,yes,yes,yes,no,no,no,not_included,"",uuid:6c97295a-34dd-4434-8f14-ea753144ef09,uuid:6c97295a-34dd-4434-8f14-ea753144ef09
"",AM,"Oct 10, 2019 8:42:00 PM",1960,7979,La Mesa Blvd,media/1570740350173.jpg,32.764134999999996,-117.025774,0.0,0.0,commercial_retail,one_story,contemporary,no,yes,pot_reverse,yes,no,no,no,candidate,"",uuid:6a75a13e-eb65-4534-b49e-28246c25e373,uuid:6a75a13e-eb65-4534-b49e-28246c25e373
"",SG,"Feb 18, 2020 1:11:00 AM",1930,8390,Allison Ave,media/1581988312617.jpg,32.766052,-117.016663,0.0,0.0,commercial_retail,multi_building_structure,revivals,yes,yes,yes,yes,undetermined,yes,undetermined,candidate,"",uuid:f9dd9545-237d-4d44-8cb9-09bb7faaf234,uuid:f9dd9545-237d-4d44-8cb9-09bb7faaf234
"",SG,"Feb 18, 2020 12:06:00 AM",1941,4757,Palm Ave,media/1581984427183.jpg,32.765363,-117.019345,0.0,0.0,commercial_retail,one_story,contemporary,no,yes,undetermined,yes,undetermined,yes,undetermined,confirmed,"",uuid:8e793f89-f5e4-4009-885a-1ac547eaf477,uuid:8e793f89-f5e4-4009-885a-1ac547eaf477
"",AM,"Nov 30, 2019 9:59:00 PM","",8381,La Mesa Blvd,media/1575151269019.jpg,32.765662999999996,-117.017152,0.0,0.0,commercial_retail,one_story,post_modern,yes,yes,yes,undetermined,undetermined,no,no,non_candidate,"",uuid:9c7b008b-c30d-4ab7-95a1-cddd77e27d24,uuid:9c7b008b-c30d-4ab7-95a1-cddd77e27d24
"",SG,"Feb 18, 2020 12:46:00 AM","",8353,La Mesa Blvd,media/1581986917171.jpg,32.765453,-117.017837,0.0,0.0,commercial_retail,two_story,folk_trad_victorian,no,yes,yes,yes,undetermined,undetermined,undetermined,more_research,"",uuid:272c12db-cb94-4855-9a00-881db63684aa,uuid:272c12db-cb94-4855-9a00-881db63684aa
"",RK,"Feb 8, 2020 6:29:00 PM",1995,8375,University Avenue,media/1581186762742.jpg,32.768096,-117.017156,0.0,0.0,commercial_retail,"",undetermined,no,no,no,undetermined,no,no,undetermined,non_candidate,Completely remodeled dentist office (La Mesa Hills Dentristry). Collector states year built is 1995 which may be a remodel date.,uuid:390c67cb-06dc-4fcf-bfaa-1bc23621526d,uuid:390c67cb-06dc-4fcf-bfaa-1bc23621526d
"",Wr,"Apr 20, 2019 9:07:00 PM",1958,8801,La Mesa,media/1555794520774.jpg,32.77082,-117.008017,0.0,0.0,commercial_retail,one_story,modern,no,yes,undetermined,yes,undetermined,undetermined,undetermined,more_research,"",uuid:1db20b5c-b731-4c13-8963-227f06c7079d,uuid:1db20b5c-b731-4c13-8963-227f06c7079d
"",Kc,"Mar 1, 2020 9:52:00 PM",0,5171,Guild,media/1583099610240.jpg,32.772566,-117.02305299999999,0.0,0.0,commercial_retail,multi_building_structure,craftsman,yes,yes,no,yes,undetermined,yes,no,more_research,No date,uuid:1b206308-a832-4afa-bb65-44c29f136d0f,uuid:1b206308-a832-4afa-bb65-44c29f136d0f
"",AM,"Oct 10, 2019 9:43:00 PM",1894,8241,La Mesa Blvd,"",,,,,"","","","","","","","","","","","",uuid:95221da6-f5c0-48a2-a94a-41a55ffb9537,uuid:95221da6-f5c0-48a2-a94a-41a55ffb9537
"",SG,"Feb 18, 2020 12:32:00 AM",1960,8313,La Mesa Blvd,media/1581986016797.jpg,32.765262,-117.018459,0.0,0.0,commercial_retail,one_story,revivals,yes,yes,undetermined,yes,undetermined,undetermined,undetermined,assess,"",uuid:7888d018-e524-47f9-92b5-ece5385c30be,uuid:7888d018-e524-47f9-92b5-ece5385c30be
"",RK,"Feb 8, 2020 8:27:00 PM",0,"",Memorial drive,media/1581193701631.jpg,32.770761,-117.015558,0.0,0.0,structures_objects,"","",undetermined,undetermined,undetermined,undetermined,yes,undetermined,undetermined,undetermined,More research warranted,uuid:fd5abd1a-f9a5-4e68-bb5b-412ce768ec4b,uuid:fd5abd1a-f9a5-4e68-bb5b-412ce768ec4b
"",Am,"Nov 3, 2019 8:34:00 PM",1930,7843,La Mesa Blvd,media/1572817252149.jpg,32.767493,-117.028717,0.0,0.0,residential,one_story,undetermined,yes,yes,yes,yes,yes,yes,no,candidate,House looks age appropriate. Needs some repairs.,uuid:f0d5fa00-b63c-4f8e-801c-889c62e91129,uuid:f0d5fa00-b63c-4f8e-801c-889c62e91129
"",Am,"Oct 31, 2019 9:29:00 PM",1990,4900,Baltimore Dr,media/1572557559762.jpg,32.767793999999995,-117.023744,0.0,0.0,commercial_retail,undetermined,post_modern,yes,yes,no,yes,no,no,no,assess,House looks to be in original condition.,uuid:91c63428-e42a-41c6-9364-85f45ee715c2,uuid:91c63428-e42a-41c6-9364-85f45ee715c2
"",Am,"Nov 27, 2019 6:59:00 PM",1894,8241,La Mesa Blvd,media/1574881422138.jpg,32.764266,-117.020511,0.0,0.0,commercial_retail,two_story,undetermined,yes,yes,no,yes,undetermined,no,no,confirmed,Looks good. There have been no changes to building.,uuid:cfd10b8d-4a97-4864-b434-fd8c7bf43ef7,uuid:cfd10b8d-4a97-4864-b434-fd8c7bf43ef7
"",AM,"Nov 30, 2019 10:59:00 PM","",8459,La Mesa Blvd,media/1575154831236.jpg,32.767838999999995,-117.01543099999999,0.0,0.0,residential,multi_building_structure,undetermined,yes,yes,yes,undetermined,undetermined,no,undetermined,undetermined,"",uuid:8112cfd5-482e-49ed-8cc6-7cca362d4213,uuid:8112cfd5-482e-49ed-8cc6-7cca362d4213
"",AM,"Dec 1, 2019 11:25:00 PM",21936,8284,La Mesa Blvd,media/1575242866967.jpg,32.764953999999996,-117.019351,0.0,0.0,commercial_retail,one_story,minimal_trad,yes,yes,no,undetermined,undetermined,no,no,candidate,"",uuid:c1c5cbe2-3cd4-4b5a-9c07-81e31096b5a8,uuid:c1c5cbe2-3cd4-4b5a-9c07-81e31096b5a8
